3,0,20,5,16,0.000000,2.000000,3.000000,0.000000
0,-1,0,1,0,0.000000,1.000000,1.500000,0.000000
2,-1,9,0,-2,0.000000,70.000000,2.000000,0.000000
2,-1,9,0,0,0.000000,1.000000,20.000000,0.000000
2,-1,9,7,0,0.000000,1.000000,20.000000,0.000000
2,-1,9,4,0,0.000000,3.000000,2.000000,0.000000
2,-1,9,4,15,0.000000,3.000000,1.000000,0.000000
1,0,14,1,15,0.000000,2.000000,1.000000,0.000000
3,1,23,3,17,0.000000,0.500000,0.500000,0.000000
3,2,24,1,16,0.000000,1.000000,1.000000,0.000000
1,0,14,2,4,0.000000,3.000000,1.000000,0.000000
3,1,22,6,4,0.000000,0.500000,0.500000,0.000000
3,2,24,4,5,0.000000,1.000000,1.000000,0.000000
2,-1,9,1,6,0.000000,1.000000,1.000000,0.000000
2,-1,9,3,8,0.000000,4.000000,1.000000,0.000000
3,2,24,5,9,0.000000,1.000000,1.000000,0.000000
1,2,16,4,9,0.000000,1.000000,3.000000,0.000000
2,-1,9,6,11,0.000000,1.000000,1.000000,0.000000
2,-1,9,1,12,0.000000,3.000000,1.000000,0.000000
2,-1,9,0,20,0.000000,8.000000,1.000000,0.000000
3,1,21,6,12,0.000000,0.500000,0.500000,0.000000
4,16,11,5,11,0.000000,1.000000,1.000000,0.000000
3,2,24,6,2,0.000000,1.000000,1.000000,0.000000
